name,stat,value,value_normalized
Solrock,defense,85,"35,56"
Barboach,defense,43,"16,89"
Whiscash,defense,73,"30,22"
Corphish,defense,65,"26,67"
Crawdaunt,defense,85,"35,56"
Baltoy,defense,55,"22,22"
Claydol,defense,105,"44,44"
Lileep,defense,77,"32,0"
Cradily,defense,97,"40,89"
Anorith,defense,50,"20,0"
Armaldo,defense,100,"42,22"
Feebas,defense,20,"6,67"
Milotic,defense,79,"32,89"
Castform,defense,70,"28,89"
Kecleon,defense,70,"28,89"
Shuppet,defense,35,"13,33"
Banette,defense,75,"31,11"
Duskull,defense,90,"37,78"
Dusclops,defense,130,"55,56"
Tropius,defense,83,"34,67"
Chimecho,defense,80,"33,33"
Absol,defense,60,"24,44"
Wynaut,defense,48,"19,11"
Snorunt,defense,50,"20,0"
Glalie,defense,80,"33,33"
Spheal,defense,50,"20,0"
Sealeo,defense,70,"28,89"
Walrein,defense,90,"37,78"
Clamperl,defense,85,"35,56"
Huntail,defense,105,"44,44"
Gorebyss,defense,105,"44,44"
Relicanth,defense,130,"55,56"
Luvdisc,defense,55,"22,22"
Bagon,defense,60,"24,44"
Shelgon,defense,100,"42,22"
Salamence,defense,130,"55,56"
Beldum,defense,80,"33,33"
Metang,defense,100,"42,22"
Metagross,defense,150,"64,44"
Regirock,defense,200,"86,67"
Regice,defense,100,"42,22"
Registeel,defense,150,"64,44"
Latias,defense,120,"51,11"
Latios,defense,100,"42,22"
Kyogre,defense,90,"37,78"
Groudon,defense,160,"68,89"
Rayquaza,defense,100,"42,22"
Jirachi,defense,100,"42,22"
Deoxys,defense,90,"37,78"
Turtwig,defense,64,"26,22"
Grotle,defense,85,"35,56"
Torterra,defense,105,"44,44"
Chimchar,defense,44,"17,33"
Monferno,defense,52,"20,89"
Infernape,defense,71,"29,33"
Piplup,defense,53,"21,33"
Prinplup,defense,68,"28,0"
Empoleon,defense,88,"36,89"
Starly,defense,30,"11,11"
Staravia,defense,50,"20,0"
Staraptor,defense,70,"28,89"
Bidoof,defense,40,"15,56"
Bibarel,defense,60,"24,44"
Kricketot,defense,41,"16,0"
Kricketune,defense,51,"20,44"
Shinx,defense,34,"12,89"
Luxio,defense,49,"19,56"
Luxray,defense,79,"32,89"
Budew,defense,35,"13,33"
Roserade,defense,65,"26,67"
Cranidos,defense,40,"15,56"
Rampardos,defense,60,"24,44"
Shieldon,defense,118,"50,22"
Bastiodon,defense,168,"72,44"
Burmy,defense,45,"17,78"
Wormadam,defense,95,"40,0"
Mothim,defense,50,"20,0"
Combee,defense,42,"16,44"
Vespiquen,defense,102,"43,11"
Pachirisu,defense,70,"28,89"
Buizel,defense,35,"13,33"
Floatzel,defense,55,"22,22"
Cherubi,defense,45,"17,78"
Cherrim,defense,70,"28,89"
Shellos,defense,48,"19,11"
Gastrodon,defense,68,"28,0"
Ambipom,defense,66,"27,11"
Drifloon,defense,34,"12,89"
Drifblim,defense,44,"17,33"
Buneary,defense,44,"17,33"
Lopunny,defense,94,"39,56"
Mismagius,defense,60,"24,44"
Honchkrow,defense,52,"20,89"
Glameow,defense,42,"16,44"
Purugly,defense,64,"26,22"
Chingling,defense,50,"20,0"
Stunky,defense,47,"18,67"
Skuntank,defense,67,"27,56"
Bronzor,defense,86,"36,0"
Bronzong,defense,116,"49,33"
Bonsly,defense,95,"40,0"
Mime Jr.,defense,45,"17,78"
Happiny,defense,5,"0,0"
Chatot,defense,45,"17,78"
Spiritomb,defense,108,"45,78"
Gible,defense,45,"17,78"
Gabite,defense,65,"26,67"
Garchomp,defense,115,"48,89"
Munchlax,defense,40,"15,56"
Riolu,defense,40,"15,56"
Lucario,defense,88,"36,89"
Hippopotas,defense,78,"32,44"
Hippowdon,defense,118,"50,22"
Skorupi,defense,90,"37,78"
Drapion,defense,110,"46,67"
Croagunk,defense,40,"15,56"
Toxicroak,defense,65,"26,67"
Carnivine,defense,72,"29,78"
Finneon,defense,56,"22,67"
Lumineon,defense,76,"31,56"
Mantyke,defense,50,"20,0"
Snover,defense,50,"20,0"
Abomasnow,defense,105,"44,44"
Weavile,defense,65,"26,67"
Magnezone,defense,115,"48,89"
Lickilicky,defense,95,"40,0"
Rhyperior,defense,130,"55,56"
Tangrowth,defense,125,"53,33"
Electivire,defense,67,"27,56"
Magmortar,defense,67,"27,56"
Togekiss,defense,95,"40,0"
Yanmega,defense,86,"36,0"
Leafeon,defense,130,"55,56"
Glaceon,defense,110,"46,67"
Gliscor,defense,125,"53,33"
Mamoswine,defense,80,"33,33"
Porygon-Z,defense,70,"28,89"
Gallade,defense,95,"40,0"
Probopass,defense,145,"62,22"
Dusknoir,defense,135,"57,78"
Froslass,defense,70,"28,89"
Rotom,defense,107,"45,33"
Uxie,defense,130,"55,56"
Mesprit,defense,105,"44,44"
Azelf,defense,70,"28,89"
Dialga,defense,120,"51,11"
Palkia,defense,100,"42,22"
Heatran,defense,106,"44,89"
Regigigas,defense,110,"46,67"
Giratina,defense,100,"42,22"
Cresselia,defense,120,"51,11"
Phione,defense,80,"33,33"
Manaphy,defense,100,"42,22"
Darkrai,defense,90,"37,78"
Shaymin,defense,75,"31,11"
Arceus,defense,120,"51,11"
Victini,defense,100,"42,22"
Snivy,defense,55,"22,22"
Servine,defense,75,"31,11"
Serperior,defense,95,"40,0"
Tepig,defense,45,"17,78"
Pignite,defense,55,"22,22"
Emboar,defense,65,"26,67"
Oshawott,defense,45,"17,78"
Dewott,defense,60,"24,44"
Samurott,defense,85,"35,56"
Patrat,defense,39,"15,11"
Watchog,defense,69,"28,44"
Lillipup,defense,45,"17,78"
Herdier,defense,65,"26,67"
Stoutland,defense,90,"37,78"
Purrloin,defense,37,"14,22"
Liepard,defense,50,"20,0"
Pansage,defense,48,"19,11"
Simisage,defense,63,"25,78"
Pansear,defense,48,"19,11"
Simisear,defense,63,"25,78"
Panpour,defense,48,"19,11"
Simipour,defense,63,"25,78"
Munna,defense,45,"17,78"
Musharna,defense,85,"35,56"
Pidove,defense,50,"20,0"
Tranquill,defense,62,"25,33"
Unfezant,defense,80,"33,33"
Blitzle,defense,32,"12,0"
Zebstrika,defense,63,"25,78"
Roggenrola,defense,85,"35,56"
Boldore,defense,105,"44,44"
Gigalith,defense,130,"55,56"
Woobat,defense,43,"16,89"
Swoobat,defense,55,"22,22"
Drilbur,defense,40,"15,56"
Excadrill,defense,60,"24,44"
Audino,defense,126,"53,78"
Timburr,defense,55,"22,22"
Gurdurr,defense,85,"35,56"
Conkeldurr,defense,95,"40,0"
Tympole,defense,40,"15,56"
Palpitoad,defense,55,"22,22"
Seismitoad,defense,75,"31,11"
Throh,defense,85,"35,56"
Sawk,defense,75,"31,11"
Sewaddle,defense,70,"28,89"
Swadloon,defense,90,"37,78"
Leavanny,defense,80,"33,33"
Venipede,defense,59,"24,0"
Whirlipede,defense,99,"41,78"
Scolipede,defense,89,"37,33"
Cottonee,defense,60,"24,44"
Whimsicott,defense,85,"35,56"
Petilil,defense,50,"20,0"
Lilligant,defense,75,"31,11"
Basculin,defense,65,"26,67"
Sandile,defense,35,"13,33"
Krokorok,defense,45,"17,78"
Krookodile,defense,80,"33,33"
Darumaka,defense,45,"17,78"
Darmanitan,defense,105,"44,44"
Maractus,defense,67,"27,56"
Dwebble,defense,85,"35,56"
Crustle,defense,125,"53,33"
Scraggy,defense,70,"28,89"
Scrafty,defense,115,"48,89"
Sigilyph,defense,80,"33,33"
Yamask,defense,85,"35,56"
Cofagrigus,defense,145,"62,22"
Tirtouga,defense,103,"43,56"
Carracosta,defense,133,"56,89"
Archen,defense,45,"17,78"
Archeops,defense,65,"26,67"
Trubbish,defense,62,"25,33"
Garbodor,defense,82,"34,22"
Zorua,defense,40,"15,56"
Zoroark,defense,60,"24,44"
Minccino,defense,40,"15,56"
Cinccino,defense,60,"24,44"
Gothita,defense,50,"20,0"
Gothorita,defense,70,"28,89"
Gothitelle,defense,95,"40,0"
Solosis,defense,40,"15,56"
Duosion,defense,50,"20,0"
Reuniclus,defense,75,"31,11"
Ducklett,defense,50,"20,0"
Swanna,defense,63,"25,78"
Vanillite,defense,50,"20,0"
Vanillish,defense,65,"26,67"
Vanilluxe,defense,85,"35,56"
Deerling,defense,50,"20,0"
Sawsbuck,defense,70,"28,89"
Emolga,defense,60,"24,44"
Karrablast,defense,45,"17,78"
Escavalier,defense,105,"44,44"
Foongus,defense,45,"17,78"
Amoonguss,defense,70,"28,89"
Frillish,defense,50,"20,0"
Jellicent,defense,70,"28,89"
Alomomola,defense,80,"33,33"
Joltik,defense,50,"20,0"
Galvantula,defense,60,"24,44"
Ferroseed,defense,91,"38,22"
Ferrothorn,defense,131,"56,0"
Klink,defense,70,"28,89"
Klang,defense,95,"40,0"
Klinklang,defense,115,"48,89"
Tynamo,defense,40,"15,56"
Eelektrik,defense,70,"28,89"
Eelektross,defense,80,"33,33"
Elgyem,defense,55,"22,22"
Beheeyem,defense,75,"31,11"
Litwick,defense,55,"22,22"
Lampent,defense,60,"24,44"
Chandelure,defense,90,"37,78"
Axew,defense,60,"24,44"
Fraxure,defense,70,"28,89"
Haxorus,defense,90,"37,78"
Cubchoo,defense,40,"15,56"
Beartic,defense,80,"33,33"
Cryogonal,defense,50,"20,0"
Shelmet,defense,85,"35,56"
Accelgor,defense,40,"15,56"
Stunfisk,defense,84,"35,11"
Mienfoo,defense,50,"20,0"
Mienshao,defense,60,"24,44"
Druddigon,defense,90,"37,78"
Golett,defense,50,"20,0"
Golurk,defense,80,"33,33"
Pawniard,defense,70,"28,89"
Bisharp,defense,100,"42,22"
Bouffalant,defense,95,"40,0"
Rufflet,defense,50,"20,0"
Braviary,defense,75,"31,11"
Vullaby,defense,75,"31,11"
Mandibuzz,defense,105,"44,44"
Heatmor,defense,66,"27,11"
Durant,defense,112,"47,56"
Deino,defense,50,"20,0"
Zweilous,defense,70,"28,89"
Hydreigon,defense,90,"37,78"
Larvesta,defense,55,"22,22"
Volcarona,defense,65,"26,67"
Cobalion,defense,129,"55,11"
Terrakion,defense,90,"37,78"
Virizion,defense,72,"29,78"
Tornadus,defense,80,"33,33"
Thundurus,defense,70,"28,89"
Reshiram,defense,100,"42,22"
Zekrom,defense,120,"51,11"
Landorus,defense,90,"37,78"
Kyurem,defense,90,"37,78"
Keldeo,defense,90,"37,78"
Meloetta,defense,90,"37,78"
Genesect,defense,95,"40,0"
Chespin,defense,65,"26,67"
Quilladin,defense,95,"40,0"
Chesnaught,defense,122,"52,0"
Fennekin,defense,40,"15,56"
Braixen,defense,58,"23,56"
Delphox,defense,72,"29,78"
Froakie,defense,40,"15,56"
Frogadier,defense,52,"20,89"
Greninja,defense,67,"27,56"
Bunnelby,defense,38,"14,67"
Diggersby,defense,77,"32,0"
Fletchling,defense,43,"16,89"
Fletchinder,defense,55,"22,22"
Talonflame,defense,71,"29,33"
Scatterbug,defense,40,"15,56"
Spewpa,defense,60,"24,44"
Vivillon,defense,50,"20,0"
Litleo,defense,58,"23,56"
Pyroar,defense,72,"29,78"
Flabébé,defense,39,"15,11"
Floette,defense,67,"27,56"
Florges,defense,68,"28,0"
Skiddo,defense,48,"19,11"
Gogoat,defense,62,"25,33"
Pancham,defense,62,"25,33"
Pangoro,defense,78,"32,44"
Furfrou,defense,60,"24,44"
Espurr,defense,54,"21,78"
Meowstic,defense,76,"31,56"
Honedge,defense,100,"42,22"
Doublade,defense,150,"64,44"
Aegislash,defense,50,"20,0"
Spritzee,defense,60,"24,44"
Aromatisse,defense,72,"29,78"
Swirlix,defense,66,"27,11"
Slurpuff,defense,86,"36,0"
Inkay,defense,53,"21,33"
Malamar,defense,88,"36,89"
Binacle,defense,67,"27,56"
Barbaracle,defense,115,"48,89"
Skrelp,defense,60,"24,44"
Dragalge,defense,90,"37,78"
Clauncher,defense,62,"25,33"
Clawitzer,defense,88,"36,89"
Helioptile,defense,33,"12,44"
Heliolisk,defense,52,"20,89"
Tyrunt,defense,77,"32,0"
Tyrantrum,defense,119,"50,67"
Amaura,defense,50,"20,0"
Aurorus,defense,72,"29,78"
Sylveon,defense,65,"26,67"
Hawlucha,defense,75,"31,11"
Dedenne,defense,57,"23,11"
Carbink,defense,150,"64,44"
Goomy,defense,35,"13,33"
Sliggoo,defense,53,"21,33"
Goodra,defense,70,"28,89"
Klefki,defense,91,"38,22"
Phantump,defense,48,"19,11"
Trevenant,defense,76,"31,56"
Pumpkaboo,defense,70,"28,89"
Gourgeist,defense,122,"52,0"
Bergmite,defense,85,"35,56"
Avalugg,defense,184,"79,56"
Noibat,defense,35,"13,33"
Noivern,defense,80,"33,33"
Xerneas,defense,95,"40,0"
Yveltal,defense,95,"40,0"
Zygarde,defense,121,"51,56"
Diancie,defense,110,"46,67"
Hoopa,defense,60,"24,44"
Volcanion,defense,120,"51,11"
Rowlet,defense,55,"22,22"
Dartrix,defense,75,"31,11"
Decidueye,defense,75,"31,11"
Litten,defense,40,"15,56"
Torracat,defense,50,"20,0"
Incineroar,defense,90,"37,78"
Popplio,defense,54,"21,78"
Brionne,defense,69,"28,44"
Primarina,defense,74,"30,67"
Pikipek,defense,30,"11,11"
Trumbeak,defense,50,"20,0"
Toucannon,defense,75,"31,11"
Yungoos,defense,30,"11,11"
Gumshoos,defense,60,"24,44"
Grubbin,defense,45,"17,78"
Charjabug,defense,95,"40,0"
Vikavolt,defense,90,"37,78"
Crabrawler,defense,57,"23,11"
Crabominable,defense,77,"32,0"
Oricorio,defense,70,"28,89"
Cutiefly,defense,40,"15,56"
Ribombee,defense,60,"24,44"
Rockruff,defense,40,"15,56"
Lycanroc,defense,75,"31,11"
Wishiwashi,defense,130,"55,56"
Mareanie,defense,62,"25,33"
Toxapex,defense,152,"65,33"
Mudbray,defense,70,"28,89"
Mudsdale,defense,100,"42,22"
Dewpider,defense,52,"20,89"
Araquanid,defense,92,"38,67"
Fomantis,defense,35,"13,33"
Lurantis,defense,90,"37,78"
Morelull,defense,55,"22,22"
Shiinotic,defense,80,"33,33"
Salandit,defense,40,"15,56"
Salazzle,defense,60,"24,44"
Stufful,defense,50,"20,0"
Bewear,defense,80,"33,33"
Bounsweet,defense,38,"14,67"
Steenee,defense,48,"19,11"
Tsareena,defense,98,"41,33"
Comfey,defense,90,"37,78"
Oranguru,defense,80,"33,33"
Passimian,defense,90,"37,78"
Wimpod,defense,40,"15,56"
Golisopod,defense,140,"60,0"
Sandygast,defense,80,"33,33"
Palossand,defense,110,"46,67"
Pyukumuku,defense,130,"55,56"
Type: Null,defense,95,"40,0"
Silvally,defense,95,"40,0"
Minior,defense,60,"24,44"
Komala,defense,65,"26,67"
Turtonator,defense,135,"57,78"
Togedemaru,defense,63,"25,78"
Mimikyu,defense,80,"33,33"
Bruxish,defense,70,"28,89"
Drampa,defense,85,"35,56"
Dhelmise,defense,100,"42,22"
Jangmo-o,defense,65,"26,67"
Hakamo-o,defense,90,"37,78"
Kommo-o,defense,125,"53,33"
Tapu Koko,defense,85,"35,56"
Tapu Lele,defense,75,"31,11"
Tapu Bulu,defense,115,"48,89"
Tapu Fini,defense,115,"48,89"
Cosmog,defense,31,"11,56"
Cosmoem,defense,131,"56,0"
Solgaleo,defense,107,"45,33"
Lunala,defense,89,"37,33"
Nihilego,defense,47,"18,67"
Buzzwole,defense,139,"59,56"
Pheromosa,defense,37,"14,22"
Xurkitree,defense,71,"29,33"
Celesteela,defense,103,"43,56"
Kartana,defense,131,"56,0"
Guzzlord,defense,53,"21,33"
Necrozma,defense,101,"42,67"
Magearna,defense,115,"48,89"
Bulbasaur,speed,45,"22,86"
Bulbasaur,speed,45,"22,86"
Ivysaur,speed,60,"31,43"
Ivysaur,speed,60,"31,43"
Venusaur,speed,80,"42,86"
Venusaur,speed,80,"42,86"
Charmander,speed,65,"34,29"
Charmander,speed,65,"34,29"
Charmeleon,speed,80,"42,86"
Charmeleon,speed,80,"42,86"
Charizard,speed,100,"54,29"
Charizard,speed,100,"54,29"
Squirtle,speed,43,"21,71"
Squirtle,speed,43,"21,71"
Wartortle,speed,58,"30,29"
Wartortle,speed,58,"30,29"
Blastoise,speed,78,"41,71"
Blastoise,speed,78,"41,71"
Caterpie,speed,45,"22,86"
Caterpie,speed,45,"22,86"
Metapod,speed,30,"14,29"
Metapod,speed,30,"14,29"
Butterfree,speed,70,"37,14"
Butterfree,speed,70,"37,14"
Weedle,speed,50,"25,71"
Weedle,speed,50,"25,71"
Kakuna,speed,35,"17,14"
Kakuna,speed,35,"17,14"
Beedrill,speed,145,"80,0"
Beedrill,speed,145,"80,0"
Pidgey,speed,56,"29,14"
Pidgey,speed,56,"29,14"
Pidgeotto,speed,71,"37,71"
Pidgeotto,speed,71,"37,71"
Pidgeot,speed,121,"66,29"
Pidgeot,speed,121,"66,29"
Rattata,speed,72,"38,29"
Rattata,speed,72,"38,29"
Raticate,speed,77,"41,14"
Raticate,speed,77,"41,14"
Spearow,speed,70,"37,14"
Spearow,speed,70,"37,14"
Fearow,speed,100,"54,29"
Fearow,speed,100,"54,29"
Ekans,speed,55,"28,57"
Ekans,speed,55,"28,57"
Arbok,speed,80,"42,86"
Arbok,speed,80,"42,86"
Pikachu,speed,90,"48,57"
Pikachu,speed,90,"48,57"
Raichu,speed,110,"60,0"
Raichu,speed,110,"60,0"
Sandshrew,speed,40,"20,0"
Sandshrew,speed,40,"20,0"
Sandslash,speed,65,"34,29"
Sandslash,speed,65,"34,29"
Nidoran♀,speed,41,"20,57"
Nidoran♀,speed,41,"20,57"
Nidorina,speed,56,"29,14"
Nidorina,speed,56,"29,14"
Nidoqueen,speed,76,"40,57"
Nidoqueen,speed,76,"40,57"
Nidoran♂,speed,50,"25,71"
Nidoran♂,speed,50,"25,71"
Nidorino,speed,65,"34,29"
Nidorino,speed,65,"34,29"
Nidoking,speed,85,"45,71"
Nidoking,speed,85,"45,71"
Clefairy,speed,35,"17,14"
Clefairy,speed,35,"17,14"
Clefable,speed,60,"31,43"
Clefable,speed,60,"31,43"
Vulpix,speed,65,"34,29"
Vulpix,speed,65,"34,29"
Ninetales,speed,109,"59,43"
Ninetales,speed,109,"59,43"
Jigglypuff,speed,20,"8,57"
Jigglypuff,speed,20,"8,57"
Wigglytuff,speed,45,"22,86"
Wigglytuff,speed,45,"22,86"
Zubat,speed,55,"28,57"
Zubat,speed,55,"28,57"
Golbat,speed,90,"48,57"
Golbat,speed,90,"48,57"
Oddish,speed,30,"14,29"
Oddish,speed,30,"14,29"
Gloom,speed,40,"20,0"
Gloom,speed,40,"20,0"
Vileplume,speed,50,"25,71"
Vileplume,speed,50,"25,71"
Paras,speed,25,"11,43"
Paras,speed,25,"11,43"
Parasect,speed,30,"14,29"
Parasect,speed,30,"14,29"
Venonat,speed,45,"22,86"
Venonat,speed,45,"22,86"
Venomoth,speed,90,"48,57"
Venomoth,speed,90,"48,57"
Diglett,speed,90,"48,57"
Diglett,speed,90,"48,57"
Dugtrio,speed,110,"60,0"
Dugtrio,speed,110,"60,0"
Meowth,speed,90,"48,57"
Meowth,speed,90,"48,57"
Persian,speed,115,"62,86"
Persian,speed,115,"62,86"
Psyduck,speed,55,"28,57"
Psyduck,speed,55,"28,57"
Golduck,speed,85,"45,71"
Golduck,speed,85,"45,71"
Mankey,speed,70,"37,14"
Mankey,speed,70,"37,14"
Primeape,speed,95,"51,43"
Primeape,speed,95,"51,43"
Growlithe,speed,60,"31,43"
Growlithe,speed,60,"31,43"
Arcanine,speed,95,"51,43"
Arcanine,speed,95,"51,43"
Poliwag,speed,90,"48,57"
Poliwag,speed,90,"48,57"
Poliwhirl,speed,90,"48,57"
Poliwhirl,speed,90,"48,57"
Poliwrath,speed,70,"37,14"
Poliwrath,speed,70,"37,14"
Abra,speed,90,"48,57"
Abra,speed,90,"48,57"
Kadabra,speed,105,"57,14"
Kadabra,speed,105,"57,14"
Alakazam,speed,150,"82,86"
Alakazam,speed,150,"82,86"
Machop,speed,35,"17,14"
Machop,speed,35,"17,14"
Machoke,speed,45,"22,86"
Machoke,speed,45,"22,86"
Machamp,speed,55,"28,57"
Machamp,speed,55,"28,57"
Bellsprout,speed,40,"20,0"
Bellsprout,speed,40,"20,0"
Weepinbell,speed,55,"28,57"
Weepinbell,speed,55,"28,57"
Victreebel,speed,70,"37,14"
Victreebel,speed,70,"37,14"
Tentacool,speed,70,"37,14"
Tentacool,speed,70,"37,14"
Tentacruel,speed,100,"54,29"
Tentacruel,speed,100,"54,29"
Geodude,speed,20,"8,57"
Geodude,speed,20,"8,57"
Graveler,speed,35,"17,14"
Graveler,speed,35,"17,14"
Golem,speed,45,"22,86"
Golem,speed,45,"22,86"
Ponyta,speed,90,"48,57"
Ponyta,speed,90,"48,57"
Rapidash,speed,105,"57,14"
Rapidash,speed,105,"57,14"
Slowpoke,speed,15,"5,71"
Slowpoke,speed,15,"5,71"
Slowbro,speed,30,"14,29"
Slowbro,speed,30,"14,29"
Magnemite,speed,45,"22,86"
Magnemite,speed,45,"22,86"
Magneton,speed,70,"37,14"
Magneton,speed,70,"37,14"
Farfetch'd,speed,60,"31,43"
Farfetch'd,speed,60,"31,43"
Doduo,speed,75,"40,0"
Doduo,speed,75,"40,0"
Dodrio,speed,110,"60,0"
Dodrio,speed,110,"60,0"
Seel,speed,45,"22,86"
Seel,speed,45,"22,86"
Dewgong,speed,70,"37,14"
Dewgong,speed,70,"37,14"
Grimer,speed,25,"11,43"
Grimer,speed,25,"11,43"
Muk,speed,50,"25,71"
Muk,speed,50,"25,71"
Shellder,speed,40,"20,0"
Shellder,speed,40,"20,0"
Cloyster,speed,70,"37,14"
Cloyster,speed,70,"37,14"
Gastly,speed,80,"42,86"
Gastly,speed,80,"42,86"
Haunter,speed,95,"51,43"
Haunter,speed,95,"51,43"
Gengar,speed,130,"71,43"
Gengar,speed,130,"71,43"
Onix,speed,70,"37,14"
Onix,speed,70,"37,14"
Drowzee,speed,42,"21,14"
Drowzee,speed,42,"21,14"
Hypno,speed,67,"35,43"
Hypno,speed,67,"35,43"
Krabby,speed,50,"25,71"
Krabby,speed,50,"25,71"
Kingler,speed,75,"40,0"
Kingler,speed,75,"40,0"
Voltorb,speed,100,"54,29"
Voltorb,speed,100,"54,29"
Electrode,speed,150,"82,86"
Electrode,speed,150,"82,86"
Exeggcute,speed,40,"20,0"
Exeggcute,speed,40,"20,0"
Exeggutor,speed,45,"22,86"
Exeggutor,speed,45,"22,86"
Cubone,speed,35,"17,14"
Cubone,speed,35,"17,14"
Marowak,speed,45,"22,86"
Marowak,speed,45,"22,86"
Hitmonlee,speed,87,"46,86"
Hitmonlee,speed,87,"46,86"
Hitmonchan,speed,76,"40,57"
Hitmonchan,speed,76,"40,57"
Lickitung,speed,30,"14,29"
Lickitung,speed,30,"14,29"
Koffing,speed,35,"17,14"
Koffing,speed,35,"17,14"
Weezing,speed,60,"31,43"
Weezing,speed,60,"31,43"
Rhyhorn,speed,25,"11,43"
Rhyhorn,speed,25,"11,43"
Rhydon,speed,40,"20,0"
Rhydon,speed,40,"20,0"
Chansey,speed,50,"25,71"
Chansey,speed,50,"25,71"
Tangela,speed,60,"31,43"
Tangela,speed,60,"31,43"
Kangaskhan,speed,100,"54,29"
Kangaskhan,speed,100,"54,29"
Horsea,speed,60,"31,43"
Horsea,speed,60,"31,43"
Seadra,speed,85,"45,71"
Seadra,speed,85,"45,71"
Goldeen,speed,63,"33,14"
Goldeen,speed,63,"33,14"
Seaking,speed,68,"36,0"
Seaking,speed,68,"36,0"
Staryu,speed,85,"45,71"
Staryu,speed,85,"45,71"
Starmie,speed,115,"62,86"
Starmie,speed,115,"62,86"
Mr. Mime,speed,90,"48,57"
Mr. Mime,speed,90,"48,57"
Scyther,speed,105,"57,14"
Scyther,speed,105,"57,14"
Jynx,speed,95,"51,43"
Jynx,speed,95,"51,43"
Electabuzz,speed,105,"57,14"
Electabuzz,speed,105,"57,14"
Magmar,speed,93,"50,29"
Magmar,speed,93,"50,29"
Pinsir,speed,105,"57,14"
Pinsir,speed,105,"57,14"
Tauros,speed,110,"60,0"
Tauros,speed,110,"60,0"
Magikarp,speed,80,"42,86"
Magikarp,speed,80,"42,86"
Gyarados,speed,81,"43,43"
Gyarados,speed,81,"43,43"
Lapras,speed,60,"31,43"
Lapras,speed,60,"31,43"
Ditto,speed,48,"24,57"
Ditto,speed,48,"24,57"
Eevee,speed,55,"28,57"
Eevee,speed,55,"28,57"
Vaporeon,speed,65,"34,29"
Vaporeon,speed,65,"34,29"
Jolteon,speed,130,"71,43"
Jolteon,speed,130,"71,43"
Flareon,speed,65,"34,29"
Flareon,speed,65,"34,29"
Porygon,speed,40,"20,0"
Porygon,speed,40,"20,0"
Omanyte,speed,35,"17,14"
Omanyte,speed,35,"17,14"
Omastar,speed,55,"28,57"
Omastar,speed,55,"28,57"
Kabuto,speed,55,"28,57"
Kabuto,speed,55,"28,57"
Kabutops,speed,80,"42,86"
Kabutops,speed,80,"42,86"
Aerodactyl,speed,150,"82,86"
Aerodactyl,speed,150,"82,86"
Snorlax,speed,30,"14,29"
Snorlax,speed,30,"14,29"
Articuno,speed,85,"45,71"
Articuno,speed,85,"45,71"
Zapdos,speed,100,"54,29"
Zapdos,speed,100,"54,29"
Moltres,speed,90,"48,57"
Moltres,speed,90,"48,57"
Dratini,speed,50,"25,71"
Dratini,speed,50,"25,71"
Dragonair,speed,70,"37,14"
Dragonair,speed,70,"37,14"
Dragonite,speed,80,"42,86"
Dragonite,speed,80,"42,86"
Mewtwo,speed,140,"77,14"
Mewtwo,speed,140,"77,14"
Mew,speed,100,"54,29"
Mew,speed,100,"54,29"
Chikorita,speed,45,"22,86"
Chikorita,speed,45,"22,86"
Bayleef,speed,60,"31,43"
Bayleef,speed,60,"31,43"
Meganium,speed,80,"42,86"
Meganium,speed,80,"42,86"
Cyndaquil,speed,65,"34,29"
Cyndaquil,speed,65,"34,29"
Quilava,speed,80,"42,86"
Quilava,speed,80,"42,86"
Typhlosion,speed,100,"54,29"
Typhlosion,speed,100,"54,29"
Totodile,speed,43,"21,71"
Totodile,speed,43,"21,71"
Croconaw,speed,58,"30,29"
Croconaw,speed,58,"30,29"
Feraligatr,speed,78,"41,71"
Feraligatr,speed,78,"41,71"
Sentret,speed,20,"8,57"
Sentret,speed,20,"8,57"
Furret,speed,90,"48,57"
Furret,speed,90,"48,57"
Hoothoot,speed,50,"25,71"
Hoothoot,speed,50,"25,71"
Noctowl,speed,70,"37,14"
Noctowl,speed,70,"37,14"
Ledyba,speed,55,"28,57"
Ledyba,speed,55,"28,57"
Ledian,speed,85,"45,71"
Ledian,speed,85,"45,71"
Spinarak,speed,30,"14,29"
Spinarak,speed,30,"14,29"
Ariados,speed,40,"20,0"
Ariados,speed,40,"20,0"
Crobat,speed,130,"71,43"
Crobat,speed,130,"71,43"
Chinchou,speed,67,"35,43"
Chinchou,speed,67,"35,43"
Lanturn,speed,67,"35,43"
Lanturn,speed,67,"35,43"
Pichu,speed,60,"31,43"
Pichu,speed,60,"31,43"
Cleffa,speed,15,"5,71"
Cleffa,speed,15,"5,71"
Igglybuff,speed,15,"5,71"
Igglybuff,speed,15,"5,71"
Togepi,speed,20,"8,57"
Togepi,speed,20,"8,57"
Togetic,speed,40,"20,0"
Togetic,speed,40,"20,0"
Natu,speed,70,"37,14"
Natu,speed,70,"37,14"
Xatu,speed,95,"51,43"
Xatu,speed,95,"51,43"
Mareep,speed,35,"17,14"
Mareep,speed,35,"17,14"
Flaaffy,speed,45,"22,86"
Flaaffy,speed,45,"22,86"
Ampharos,speed,45,"22,86"
Ampharos,speed,45,"22,86"
Bellossom,speed,50,"25,71"
Bellossom,speed,50,"25,71"
Marill,speed,40,"20,0"
Marill,speed,40,"20,0"
Azumarill,speed,50,"25,71"
Azumarill,speed,50,"25,71"
Sudowoodo,speed,30,"14,29"
